42,1,912,18,57,atk%,0
42,20,2342,46,147,atk%,0
42,40,4529,88,284,atk%,0
42,50,5766,113,362,atk%,6
42,60,7164,140,450,atk%,12
42,70,8401,164,527,atk%,12
42,80,9638,188,605,atk%,18
42,90,10875,212,683,atk%,24
43,1,912,18,57,atk%,0
43,20,2342,46,147,atk%,0
43,40,4529,88,284,atk%,0
43,50,5766,113,362,atk%,6
43,60,7164,140,450,atk%,12
43,70,8401,164,527,atk%,12
43,80,9638,188,605,atk%,18
43,90,10875,212,683,atk%,24
44,1,912,18,57,atk%,0
44,20,2342,46,147,atk%,0
44,40,4529,88,284,atk%,0
44,50,5766,113,362,atk%,6
44,60,7164,140,450,atk%,12
44,70,8401,164,527,atk%,12
44,80,9638,188,605,atk%,18
44,90,10875,212,683,atk%,24
45,1,912,18,57,atk%,0
45,20,2342,46,147,atk%,0
45,40,4529,88,284,atk%,0
45,50,5766,113,362,atk%,6
45,60,7164,140,450,atk%,12
45,70,8401,164,527,atk%,12
45,80,9638,188,605,atk%,18
45,90,10875,212,683,atk%,24
